run,engine,backend,length,repeat,phase,ttft_ms,e2e_ms,cache_source,cached_tokens,orbitkv_load_bytes,orbitkv_load_ms,matches_cold_output
vllm-cpu,vllm,cpu,8192,1,after_pressure,47.16719686985016,144.27311718463898,external,8192,0,0,True
vllm-cpu,vllm,cpu,8192,2,cold,1006.2378793954849,1117.6774948835373,miss,0,0,0,True
vllm-cpu,vllm,cpu,8192,2,hbm_hit,24.27726984024048,121.28850072622299,mixed,8192,0,0,True
vllm-cpu,vllm,cpu,8192,2,after_pressure,47.207921743392944,144.1517099738121,external,8192,0,0,True
vllm-cpu,vllm,cpu,8192,3,cold,1005.638025701046,1117.336243391037,miss,0,0,0,True
vllm-cpu,vllm,cpu,8192,3,hbm_hit,25.03487467765808,122.0283955335617,mixed,8192,0,0,True
vllm-cpu,vllm,cpu,8192,3,after_pressure,47.348279505968094,144.44167166948318,external,8192,0,0,True
vllm-cpu,vllm,cpu,8192,4,cold,1005.9986561536789,1117.5518333911896,miss,0,0,0,True
vllm-cpu,vllm,cpu,8192,4,hbm_hit,24.573970586061478,121.50966748595238,mixed,8192,0,0,True
vllm-cpu,vllm,cpu,8192,4,after_pressure,47.160182148218155,144.19300854206085,external,8192,0,0,True
sglang-cpu,sglang,cpu,1024,0,cold,118.06449666619301,206.37036114931107,miss,0,0,0,True
sglang-cpu,sglang,cpu,1024,0,hbm_hit,35.88605672121048,123.74385446310043,hbm,960,0,0,True
sglang-cpu,sglang,cpu,1024,0,after_pressure,30.94690293073654,118.86296793818474,external,960,0,0,True
sglang-cpu,sglang,cpu,1024,1,cold,117.51842126250267,205.63990250229836,miss,0,0,0,True
sglang-cpu,sglang,cpu,1024,1,hbm_hit,27.281560003757477,115.18926545977592,hbm,960,0,0,False
sglang-cpu,sglang,cpu,1024,1,after_pressure,30.251920223236084,118.24532598257065,external,960,0,0,False
sglang-cpu,sglang,cpu,1024,2,cold,117.3812560737133,205.82641661167145,miss,0,0,0,True
sglang-cpu,sglang,cpu,1024,2,hbm_hit,29.413234442472458,117.45114624500275,hbm,960,0,0,True
sglang-cpu,sglang,cpu,1024,2,after_pressure,29.945995658636093,118.00101026892662,external,960,0,0,True
sglang-cpu,sglang,cpu,1024,3,cold,117.4350343644619,205.76922222971916,miss,0,0,0,True
sglang-cpu,sglang,cpu,1024,3,hbm_hit,27.061108499765396,114.98693004250526,hbm,960,0,0,True
sglang-cpu,sglang,cpu,1024,3,after_pressure,30.24495765566826,118.26765164732933,external,960,0,0,True
sglang-cpu,sglang,cpu,1024,4,cold,117.70042404532433,205.7674452662468,miss,0,0,0,True
sglang-cpu,sglang,cpu,1024,4,hbm_hit,27.159135788679123,115.02274498343468,hbm,960,0,0,True
sglang-cpu,sglang,cpu,1024,4,after_pressure,30.840549618005753,118.89355257153511,external,960,0,0,True
sglang-cpu,sglang,cpu,4096,0,cold,473.5294170677662,568.0377259850502,miss,0,0,0,True
sglang-cpu,sglang,cpu,4096,0,hbm_hit,28.037678450345993,119.35793608427048,hbm,4032,0,0,True
sglang-cpu,sglang,cpu,4096,0,after_pressure,34.888602793216705,127.26906314492226,external,4032,0,0,True
sglang-cpu,sglang,cpu,4096,1,cold,473.76109659671783,568.1448131799698,miss,0,0,0,True
sglang-cpu,sglang,cpu,4096,1,hbm_hit,28.045501559972763,119.30326372385025,hbm,4032,0,0,True
sglang-cpu,sglang,cpu,4096,1,after_pressure,31.81835263967514,123.08451905846596,external,4032,0,0,True
sglang-cpu,sglang,cpu,4096,2,cold,473.438560962677,568.2033784687519,miss,0,0,0,True
sglang-cpu,sglang,cpu,4096,2,hbm_hit,28.35427224636078,119.54095214605331,hbm,4032,0,0,True
sglang-cpu,sglang,cpu,4096,2,after_pressure,31.63447603583336,122.90329858660698,external,4032,0,0,True
sglang-cpu,sglang,cpu,4096,3,cold,473.2879474759102,567.753616720438,miss,0,0,0,True
sglang-cpu,sglang,cpu,4096,3,hbm_hit,27.978938072919846,119.15990337729454,hbm,4032,0,0,True
sglang-cpu,sglang,cpu,4096,3,after_pressure,31.517285853624344,122.93002009391785,external,4032,0,0,True
sglang-cpu,sglang,cpu,4096,4,cold,473.4824411571026,567.7522793412209,miss,0,0,0,True
sglang-cpu,sglang,cpu,4096,4,hbm_hit,27.98127755522728,119.16351690888405,hbm,4032,0,0,True
sglang-cpu,sglang,cpu,4096,4,after_pressure,31.436432152986526,122.87888675928116,external,4032,0,0,True
sglang-cpu,sglang,cpu,8192,0,cold,1001.6658864915371,1101.5831790864468,miss,0,0,0,True
sglang-cpu,sglang,cpu,8192,0,hbm_hit,29.46513518691063,126.40861794352531,hbm,8128,0,0,True
sglang-cpu,sglang,cpu,8192,0,after_pressure,44.54388469457626,142.2208473086357,external,8128,0,0,True
sglang-cpu,sglang,cpu,8192,1,cold,1001.636765897274,1101.3929434120655,miss,0,0,0,True
sglang-cpu,sglang,cpu,8192,1,hbm_hit,28.467658907175064,125.4548616707325,hbm,8128,0,0,True
sglang-cpu,sglang,cpu,8192,1,after_pressure,43.72654855251312,141.57019183039665,external,8128,0,0,True
sglang-cpu,sglang,cpu,8192,2,cold,1001.8441341817379,1101.6336232423782,miss,0,0,0,True
sglang-cpu,sglang,cpu,8192,2,hbm_hit,28.797533363103867,125.79330801963806,hbm,8128,0,0,True
sglang-cpu,sglang,cpu,8192,2,after_pressure,44.495560228824615,142.19645410776138,external,8128,0,0,True
sglang-cpu,sglang,cpu,8192,3,cold,1002.75719165802,1102.1806299686432,miss,0,0,0,True
sglang-cpu,sglang,cpu,8192,3,hbm_hit,28.860554099082947,125.79315900802612,hbm,8128,0,0,True
sglang-cpu,sglang,cpu,8192,3,after_pressure,45.069631189107895,142.87231117486954,external,8128,0,0,True
sglang-cpu,sglang,cpu,8192,4,cold,1001.6599111258984,1101.4243103563786,miss,0,0,0,True
sglang-cpu,sglang,cpu,8192,4,hbm_hit,28.93039584159851,125.97255408763885,hbm,8128,0,0,True
sglang-cpu,sglang,cpu,8192,4,after_pressure,43.65858808159828,141.29850640892982,external,8128,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,0,cold,117.64393001794815,206.53807744383812,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,0,hbm_hit,55.428408086299896,143.55362951755524,hbm,960,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,0,after_pressure,31.310465186834335,119.72372978925705,external,960,141557760.0,2.960479,True
sglang-orbitkv,sglang,orbitkv,1024,1,cold,118.20665746927261,206.7398689687252,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,1,hbm_hit,28.78447249531746,117.32426658272743,hbm,960,0,0,False
sglang-orbitkv,sglang,orbitkv,1024,1,after_pressure,31.440552324056625,119.77170407772064,external,960,141557760.0,2.8662120000000004,False
sglang-orbitkv,sglang,orbitkv,1024,2,cold,117.7058294415474,206.55140653252602,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,2,hbm_hit,28.255008161067963,117.02638491988182,hbm,960,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,2,after_pressure,30.613426119089127,119.09332871437073,external,960,141557760.0,2.881321000000001,True
sglang-orbitkv,sglang,orbitkv,1024,3,cold,118.27468127012253,207.4769139289856,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,3,hbm_hit,43.59578341245651,131.57463818788528,hbm,960,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,3,after_pressure,46.38448357582092,134.35158133506775,external,960,141557760.0,2.8697670000000004,True
sglang-orbitkv,sglang,orbitkv,1024,4,cold,117.73402616381645,206.41938596963882,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,4,hbm_hit,28.3505842089653,117.00603738427162,hbm,960,0,0,True
sglang-orbitkv,sglang,orbitkv,1024,4,after_pressure,31.598132103681564,119.74142491817474,external,960,141557760.0,2.859780000000001,True
sglang-orbitkv,sglang,orbitkv,4096,0,cold,473.98586198687553,565.745260566473,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,0,hbm_hit,33.34316238760948,125.52065774798393,hbm,4032,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,0,after_pressure,41.00466892123222,132.66587629914284,external,4032,594542592.0,12.242911000000003,True
sglang-orbitkv,sglang,orbitkv,4096,1,cold,476.2410372495651,567.4062632024288,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,1,hbm_hit,28.876684606075287,121.05987593531609,hbm,4032,0,0,True
