engine,concurrency,pattern,repeat,phase,wall_seconds,sampled_peak_pool_bytes,sampled_peak_query_bytes,query_reserved_bytes_after,query_budget_waits_total,query_budget_bypasses_total,query_coalesced_reads_total,load_bytes_total,ssd_prefetch_bytes_total,save_bytes_total,ssd_write_bytes_total,ssd_prefetch_failures_total,ssd_write_failures_total,load_duration_seconds_sum,ssd_prefetch_duration_seconds_sum,evicted_blocks,still_referenced_blocks
sglang,1,mixed,1,after_host_eviction,0.2624678947031498,603979776.0,594542592.0,0.0,0,0,0,594542592.0,594542592.0,9437184.0,0,0,0,0.025659128000000003,0.11354937399999998,848,0
sglang,1,mixed,2,cold,1.099235936999321,1811939328.0,0.0,0.0,0,0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,,
sglang,1,mixed,2,after_pressure,0.15331827476620674,5435817984.0,0.0,0.0,0,0,0,1198522368.0,0,0,849346560.0,0,0,0.024180947000000008,0,,
sglang,1,mixed,2,after_host_eviction,0.38100334629416466,1207959552.0,1198522368.0,0.0,0,0,0,1198522368.0,1198522368.0,9437184.0,0,0,0,0.051457051000000004,0.198479929,960,0
sglang,4,shared,0,cold,0.5553428642451763,1358954496.0,0.0,0.0,0,0,0,0,0,150994944.0,150994944.0,0,0,0,0,,
sglang,4,shared,0,after_pressure,0.16911606118083,4982833152.0,0.0,0.0,0,0,0,141557760.0,0,0,0,0,0,0.002913342000000013,0,,
sglang,4,shared,0,after_host_eviction,0.16930968314409256,150994944.0,141557760.0,0.0,0,0,3.0,141557760.0,141557760.0,9437184.0,0,0,0,0.006191403999999984,0.021502840000000023,912,0
sglang,4,shared,1,cold,1.6311723552644253,754974720.0,0.0,0.0,0,0,0,0,0,603979776.0,603979776.0,0,0,0,0,,
sglang,4,shared,1,after_pressure,0.20541907101869583,4378853376.0,0.0,0.0,0,0,0,594542592.0,0,0,0,0,0,0.011853119999999995,0,,
sglang,4,shared,1,after_host_eviction,0.29025136679410934,603979776.0,1783627776.0,0.0,98.0,0,2.0,594542592.0,594542592.0,9437184.0,0,0,0,0.02561930600000001,0.08988788400000003,848,0
sglang,4,shared,2,cold,1.2740045748651028,1811939328.0,0.0,0.0,0,0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,,
sglang,4,shared,2,after_pressure,0.2572341449558735,5435817984.0,1198522368.0,0.0,0,0,0,1198522368.0,0,0,0,0,0,0.025820383000000002,0,,
sglang,4,shared,2,after_host_eviction,0.46181847155094147,1207959552.0,1198522368.0,0.0,616.0,0,0,1198522368.0,1198522368.0,9437184.0,0,0,0,0.05136563300000002,0.19580478700000004,960,0
