engine,backend,length,repeat,phase,ttft_ms,e2e_ms,cache_source,cached_tokens,orbitkv_load_bytes,orbitkv_load_ms,matches_cold_output
vllm,orbitkv,4096,3,hbm_hit,22.185318171977997,115.35802111029625,mixed,4095,9437184.0,0.34436499999999926,True
vllm,orbitkv,4096,3,after_pressure,38.520053029060364,131.31289929151535,external,4095,603979776.0,16.905607000000003,True
vllm,orbitkv,4096,4,cold,476.3544425368309,569.3612731993198,miss,0,0,0,True
vllm,orbitkv,4096,4,hbm_hit,22.07845076918602,114.98009040951729,mixed,4095,9437184.0,0.3492610000000035,True
vllm,orbitkv,4096,4,after_pressure,35.015929490327835,127.79225036501884,external,4095,603979776.0,12.483436000000001,True
vllm,orbitkv,8192,0,cold,1007.0370361208916,1104.5239754021168,miss,0,0,0,True
vllm,orbitkv,8192,0,hbm_hit,24.966474622488022,122.12313711643219,mixed,8191,9437184.0,0.34899300000000577,True
vllm,orbitkv,8192,0,after_pressure,58.195263147354126,154.71846610307693,external,8191,1207959552.0,28.357789000000007,True
vllm,orbitkv,8192,1,cold,1006.9968402385712,1104.4655367732048,miss,0,0,0,True
vllm,orbitkv,8192,1,hbm_hit,25.52581951022148,122.54662811756134,mixed,8191,9437184.0,0.36025200000000535,True
vllm,orbitkv,8192,1,after_pressure,56.01809173822403,153.20933610200882,external,8191,1207959552.0,31.63405999999999,True
vllm,orbitkv,8192,2,cold,1006.6845677793026,1104.1619256138802,miss,0,0,0,True
vllm,orbitkv,8192,2,hbm_hit,25.146443396806717,122.11799249053001,mixed,8191,9437184.0,0.3516729999999968,True
vllm,orbitkv,8192,2,after_pressure,57.442400604486465,154.36283499002457,external,8191,1207959552.0,32.152577999999984,True
vllm,orbitkv,8192,3,cold,1006.8686902523041,1104.3122448027134,miss,0,0,0,True
vllm,orbitkv,8192,3,hbm_hit,25.34281462430954,122.38376587629318,mixed,8191,9437184.0,0.35732199999999326,True
vllm,orbitkv,8192,3,after_pressure,54.11279946565628,151.0157249867916,external,8191,1207959552.0,28.79202,True
vllm,orbitkv,8192,4,cold,1006.7173279821873,1104.4116131961346,miss,0,0,0,True
vllm,orbitkv,8192,4,hbm_hit,25.37614479660988,122.47464060783386,mixed,8191,9437184.0,0.35104299999999533,True
vllm,orbitkv,8192,4,after_pressure,52.95799300074577,149.94577690958977,external,8191,1207959552.0,28.225116999999994,True
sglang,native,1024,0,cold,117.16989800333977,205.51195368170738,miss,0,0,0,True
sglang,native,1024,0,hbm_hit,36.856912076473236,124.45823103189468,hbm,960,0,0,True
sglang,native,1024,0,after_pressure,116.72313138842583,205.00916615128517,miss,0,0,0,True
sglang,native,1024,1,cold,116.64410680532455,204.93551716208458,miss,0,0,0,True
sglang,native,1024,1,hbm_hit,29.613379389047623,117.47991293668747,hbm,960,0,0,True
sglang,native,1024,1,after_pressure,116.82292073965073,205.07638901472092,miss,0,0,0,True
sglang,native,1024,2,cold,117.63947457075119,205.88430762290955,miss,0,0,0,True
sglang,native,1024,2,hbm_hit,28.917312622070312,116.63172394037247,hbm,960,0,0,True
sglang,native,1024,2,after_pressure,117.0482225716114,205.2648402750492,miss,0,0,0,True
sglang,native,1024,3,cold,118.68585646152496,206.69662579894066,miss,0,0,0,True
sglang,native,1024,3,hbm_hit,28.73924747109413,116.38728156685829,hbm,960,0,0,True
sglang,native,1024,3,after_pressure,116.65670946240425,204.8848234117031,miss,0,0,0,True
sglang,native,1024,4,cold,116.88580363988876,205.06037771701813,miss,0,0,0,True
sglang,native,1024,4,hbm_hit,28.550907969474792,116.1561943590641,hbm,960,0,0,True
sglang,native,1024,4,after_pressure,117.10502579808235,205.1410898566246,miss,0,0,0,True
sglang,native,4096,0,cold,472.12817519903183,563.4011849761009,miss,0,0,0,True
sglang,native,4096,0,hbm_hit,29.180128127336502,120.06235495209694,hbm,4032,0,0,True
sglang,native,4096,0,after_pressure,472.33496606349945,563.3145608007908,miss,0,0,0,True
sglang,native,4096,1,cold,472.32764959335327,563.3327774703503,miss,0,0,0,True
sglang,native,4096,1,hbm_hit,29.563646763563156,120.36625668406487,hbm,4032,0,0,True
sglang,native,4096,1,after_pressure,472.1421040594578,563.1769001483917,miss,0,0,0,True
sglang,native,4096,2,cold,472.48515859246254,563.6251382529736,miss,0,0,0,True
sglang,native,4096,2,hbm_hit,29.068484902381897,119.88798528909683,hbm,4032,0,0,True
sglang,native,4096,2,after_pressure,472.1939340233803,563.2419623434544,miss,0,0,0,True
sglang,native,4096,3,cold,472.4782183766365,563.357837498188,miss,0,0,0,True
sglang,native,4096,3,hbm_hit,30.130911618471146,120.99340930581093,hbm,4032,0,0,True
sglang,native,4096,3,after_pressure,472.7974086999893,563.9656819403172,miss,0,0,0,True
sglang,native,4096,4,cold,472.2191281616688,563.4551756083965,miss,0,0,0,True
sglang,native,4096,4,hbm_hit,28.978604823350906,119.79090794920921,hbm,4032,0,0,True
sglang,native,4096,4,after_pressure,472.1909128129482,563.5141134262085,miss,0,0,0,True
sglang,native,8192,0,cold,1000.2843402326107,1097.116645425558,miss,0,0,0,True
sglang,native,8192,0,hbm_hit,29.54510599374771,126.15852802991867,hbm,8128,0,0,True
sglang,native,8192,0,after_pressure,999.7218400239944,1096.4948236942291,miss,0,0,0,True
sglang,native,8192,1,cold,999.726265668869,1096.4718274772167,miss,0,0,0,True
sglang,native,8192,1,hbm_hit,29.95532751083374,126.63394212722778,hbm,8128,0,0,True
sglang,native,8192,1,after_pressure,1000.0736117362976,1096.7875830829144,miss,0,0,0,True
sglang,native,8192,2,cold,1000.1044161617756,1096.9013087451458,miss,0,0,0,True
sglang,native,8192,2,hbm_hit,30.415304005146027,127.0349994301796,hbm,8128,0,0,True
sglang,native,8192,2,after_pressure,1000.352256000042,1097.1669517457485,miss,0,0,0,True
sglang,native,8192,3,cold,1000.1793168485165,1096.9604216516018,miss,0,0,0,True
sglang,native,8192,3,hbm_hit,30.112914741039276,126.80890411138535,hbm,8128,0,0,True
sglang,native,8192,3,after_pressure,1000.3316551446915,1097.153190523386,miss,0,0,0,True
sglang,native,8192,4,cold,1000.5305893719196,1097.353558987379,miss,0,0,0,True
sglang,native,8192,4,hbm_hit,30.039750039577484,126.57329812645912,hbm,8128,0,0,True
sglang,native,8192,4,after_pressure,999.8484887182713,1096.7867113649845,miss,0,0,0,True
sglang,cpu,1024,0,cold,118.08495968580246,205.9369832277298,miss,0,0,0,True
sglang,cpu,1024,0,hbm_hit,38.079481571912766,126.29130110144615,hbm,960,0,0,True
sglang,cpu,1024,0,after_pressure,32.69081562757492,120.36338075995445,external,960,0,0,True
sglang,cpu,1024,1,cold,117.34180152416229,205.40908724069595,miss,0,0,0,True
sglang,cpu,1024,1,hbm_hit,29.007047414779663,116.66657775640488,hbm,960,0,0,True
sglang,cpu,1024,1,after_pressure,31.54020383954048,119.32777985930443,external,960,0,0,True
sglang,cpu,1024,2,cold,117.26287007331848,205.2956372499466,miss,0,0,0,True
sglang,cpu,1024,2,hbm_hit,29.04442325234413,116.61745235323906,hbm,960,0,0,True
sglang,cpu,1024,2,after_pressure,31.699232757091522,119.27983537316322,external,960,0,0,True
sglang,cpu,1024,3,cold,117.2584556043148,205.28453588485718,miss,0,0,0,True
sglang,cpu,1024,3,hbm_hit,29.2910635471344,116.54174327850342,hbm,960,0,0,True
sglang,cpu,1024,3,after_pressure,32.36066177487373,119.86587196588516,external,960,0,0,True
sglang,cpu,1024,4,cold,117.59478598833084,205.3961493074894,miss,0,0,0,True
sglang,cpu,1024,4,hbm_hit,28.74048799276352,116.39933288097382,hbm,960,0,0,True
sglang,cpu,1024,4,after_pressure,31.84584528207779,119.37567591667175,external,960,0,0,True
sglang,cpu,4096,0,cold,472.9350619018078,567.1231970191002,miss,0,0,0,True
sglang,cpu,4096,0,hbm_hit,29.265940189361572,120.09276822209358,hbm,4032,0,0,True
sglang,cpu,4096,0,after_pressure,35.88935360312462,127.42064148187637,external,4032,0,0,True
sglang,cpu,4096,1,cold,473.42877835035324,567.5497949123383,miss,0,0,0,True
sglang,cpu,4096,1,hbm_hit,29.29471805691719,120.22555992007256,hbm,4032,0,0,True
sglang,cpu,4096,1,after_pressure,33.685874193906784,124.65563789010048,external,4032,0,0,True
sglang,cpu,4096,2,cold,473.0554074048996,567.9022781550884,miss,0,0,0,True
sglang,cpu,4096,2,hbm_hit,29.546041041612625,120.67507952451706,hbm,4032,0,0,True
sglang,cpu,4096,2,after_pressure,32.953325659036636,123.95793199539185,external,4032,0,0,True
sglang,cpu,4096,3,cold,472.74574264883995,567.0588314533234,miss,0,0,0,True
sglang,cpu,4096,3,hbm_hit,30.0297811627388,121.18323147296906,hbm,4032,0,0,True
sglang,cpu,4096,3,after_pressure,32.79361128807068,123.719971626997,external,4032,0,0,True
sglang,cpu,4096,4,cold,472.9577265679836,567.1137571334839,miss,0,0,0,True
sglang,cpu,4096,4,hbm_hit,29.359951615333557,120.39263173937798,hbm,4032,0,0,True
sglang,cpu,4096,4,after_pressure,32.99352899193764,124.10857528448105,external,4032,0,0,True
sglang,cpu,8192,0,cold,1001.0392889380455,1100.6084121763706,miss,0,0,0,True
sglang,cpu,8192,0,hbm_hit,30.22971749305725,126.99512764811516,hbm,8128,0,0,True
sglang,cpu,8192,0,after_pressure,44.64460909366608,142.00084283947945,external,8128,0,0,True
sglang,cpu,8192,1,cold,1001.0573752224445,1100.5869284272194,miss,0,0,0,True
sglang,cpu,8192,1,hbm_hit,30.048053711652756,126.73859298229218,hbm,8128,0,0,True
sglang,cpu,8192,1,after_pressure,44.55045610666275,142.0561708509922,external,8128,0,0,True
sglang,cpu,8192,2,cold,1000.9785257279873,1100.5531288683414,miss,0,0,0,True
sglang,cpu,8192,2,hbm_hit,30.493661761283875,127.12806090712547,hbm,8128,0,0,True
sglang,cpu,8192,2,after_pressure,44.81066018342972,142.23796874284744,external,8128,0,0,True
sglang,cpu,8192,3,cold,1001.0912641882896,1100.5752049386501,miss,0,0,0,True
sglang,cpu,8192,3,hbm_hit,30.19014000892639,126.92934647202492,hbm,8128,0,0,True
sglang,cpu,8192,3,after_pressure,45.138757675886154,142.5212323665619,external,8128,0,0,True
sglang,cpu,8192,4,cold,1001.704677939415,1101.2542434036732,miss,0,0,0,True
sglang,cpu,8192,4,hbm_hit,31.352031975984573,127.98912823200226,hbm,8128,0,0,True
sglang,cpu,8192,4,after_pressure,45.8267442882061,143.20942386984825,external,8128,0,0,True
sglang,orbitkv,1024,0,cold,118.1955561041832,206.4966782927513,miss,0,0,0,True
sglang,orbitkv,1024,0,hbm_hit,37.268154323101044,125.8196122944355,hbm,960,0,0,True
sglang,orbitkv,1024,0,after_pressure,39.3042266368866,127.23159417510033,external,960,141557760.0,2.941042,True
sglang,orbitkv,1024,1,cold,117.95075982809067,206.35800436139107,miss,0,0,0,True
sglang,orbitkv,1024,1,hbm_hit,29.003087431192398,117.22990870475769,hbm,960,0,0,True
sglang,orbitkv,1024,1,after_pressure,39.310865104198456,127.24405527114868,external,960,141557760.0,2.8731009999999997,True
